0.0 0.0 0.0
0.1650 0.9684 -0.1868
-0.5884 1.5523 -0.4893
-0.3859 2.2798 -1.1448
0.2162 2.9213 -0.6693
-0.2466 2.1156 -0.2996
-1.1756 1.9836 0.0463
-0.5599 1.7009 0.7819
-0.4445 1.8482 1.7642
0.3583 2.3351 2.1083
-0.3507 2.1825 1.4198
-0.8979 2.8279 0.8870
-0.3603 3.6704 0.8534
-0.5036 4.3981 1.5241
0.0537 5.1952 1.2915
0.5793 4.5793 1.8784
-0.1610 5.1943 2.1500
0.7657 5.5472 2.0203
0.0668 5.8008 1.3515
-0.4050 5.2312 0.6785
-0.8273 6.1320 0.7793
-0.9985 6.8539 1.4498
-0.3521 7.5801 1.6839
-1.0568 7.7149 2.3805
-1.8393 8.3357 2.3310
-0.9114 8.7080 2.3117
-0.6967 8.9856 3.2481
-0.3627 9.6179 2.5491
-0.4228 10.5221 2.1263
-0.7915 10.7962 1.2381
-0.1946 10.9798 0.4571
0.3305 10.2817 0.9437
-0.4650 10.1833 0.3458
0.0165 11.0185 0.0798
0.7830 11.5472 0.4444
1.5563 10.9304 0.5919
1.1874 11.6683 0.0266
1.0677 12.4710 -0.5577
1.5713 12.9642 0.1517
1.8325 12.2298 -0.4748
1.3435 11.5938 -1.0717
0.6121 11.1045 -0.5967
0.6861 11.9484 -1.1280
0.0541 11.2688 -0.7555
-0.2942 10.4113 -0.3770
-0.7200 9.9092 0.3758
-0.0285 9.7926 -0.3371
0.4896 10.2807 0.3653
1.0294 10.9133 -0.1901
0.7118 9.9995 0.0633
0.8274 10.3191 -0.8772
1.0519 9.3939 -0.5712
0.2518 9.8226 -0.1515
-0.1399 9.0233 0.3044
0.6196 8.4089 0.0908
1.2231 9.0928 -0.3191
2.1083 8.6440 -0.1964
2.1031 8.8102 -1.1825
1.6603 9.2408 -0.3960
1.5319 9.7398 0.4610
0.8660 9.0069 0.3216
1.3594 9.8733 0.2454
1.9408 9.2652 -0.2952
2.5790 9.9861 -0.0250
1.9292 9.3156 -0.3829
2.6569 9.9321 -0.0825
3.3924 9.3864 -0.4840
4.0571 9.1656 -1.1978
4.7431 9.8817 -1.3266
5.1155 8.9558 -1.3896
4.3751 8.3137 -1.5885
4.0902 8.7028 -2.4646
4.4665 9.3616 -3.1160
4.5038 8.5780 -2.4958
3.7964 8.5399 -3.2016
3.4316 8.6928 -4.1201
4.1060 9.1982 -3.5818
4.7089 8.4103 -3.7077
5.0215 7.6797 -3.1007
5.5483 6.9879 -2.6068
5.6674 7.2881 -3.5533
6.5064 7.0993 -4.0636
6.8072 6.3028 -3.5390
7.7390 6.6485 -3.4285
7.0876 6.3408 -2.7349
6.3097 5.7326 -2.8928
5.9945 6.3261 -2.1522
6.3303 5.5442 -1.6270
5.5960 5.4705 -2.3018
5.6930 4.7648 -1.5999
5.8897 4.2797 -2.4519
5.6507 4.8798 -1.6886
6.0288 4.5658 -0.8177
5.0864 4.8986 -0.8519
6.0039 4.8220 -0.4616
6.1038 4.2862 -1.3000
5.5710 5.1200 -1.4440
6.0847 5.6548 -0.7731
6.3218 5.4530 0.1771
5.4255 5.0874 -0.0739
4.9874 4.3268 -0.5529
5.6880 3.7789 -0.0958
6.3082 4.4195 0.3570
6.4977 3.7270 -0.3390
7.1699 4.3368 -0.7589
6.3475 4.9058 -0.7505
6.8921 4.2673 -0.2065
6.1413 4.7626 0.2307
6.0996 4.0319 -0.4508
5.2616 3.5601 -0.1765
6.1327 3.3768 -0.6322
6.4936 3.7998 0.1989
