# sqrtN R
0.000000000000000000e+00 0.000000000000000000e+00
3.014962686336266984e+01 3.599370794938069196e+01
4.263801121065568367e+01 4.566956233411573152e+01
5.222068555658763245e+01 5.231257497910306853e+01
6.029925372672533967e+01 6.190908326217584090e+01
6.741661516273269683e+01 6.646453764974118883e+01
7.385120175054701974e+01 7.865774998596380385e+01
7.976841480184998545e+01 7.979311702551224528e+01
8.527602242131136734e+01 8.024262458370850482e+01
9.044888059008800951e+01 8.818254225826103720e+01
9.534149149242422538e+01 9.437228109023909894e+01
1.000000000000000000e+02 1.005927407405109903e+02
1.044461583783721608e+02 1.006872842365446559e+02
1.087106250556954592e+02 1.119166135761541057e+02
1.128140062226317752e+02 1.226597831808595771e+02
1.167732846159599944e+02 1.125491909384239335e+02
1.206026533704793735e+02 1.285652753782437969e+02
1.243141182649822696e+02 1.206307263758864963e+02
1.279179424474924929e+02 1.241661811466883023e+02
1.314229812475732899e+02 1.394000404345870834e+02
1.348369385591352057e+02 1.363305915067978162e+02
1.381665661439119788e+02 1.320425997899508275e+02
1.414213562373095101e+02 1.353012990761509116e+02
1.445994467485958239e+02 1.434298406199671092e+02
1.477091737164621748e+02 1.517221639446338770e+02
1.507547677521344553e+02 1.393633545252846204e+02
1.537400403278209069e+02 1.504297545555394606e+02
1.566684397062790595e+02 1.485131437588807728e+02
1.595430976256886026e+02 1.621967229508484536e+02
1.623668685415839263e+02 1.700338071363784422e+02
1.651423628267441188e+02 1.644957601254564850e+02
1.678719750285913506e+02 1.666119737963680052e+02
1.705579080547131809e+02 1.617368837217543387e+02
1.732050807568877246e+02 1.670661524489358953e+02
1.758095560542714111e+02 1.797675536719128502e+02
1.783760073552494418e+02 1.759709004185964147e+02
1.809060529667263495e+02 1.708602516083680314e+02
1.834011995598720262e+02 1.917589762488997565e+02
1.858628526629245528e+02 1.959695152300983807e+02
1.882923259190347380e+02 1.873728951354671892e+02
1.906908492822872745e+02 1.951679756316687815e+02
1.930595762970591522e+02 1.864770048871210690e+02
1.953995905829897026e+02 1.964526507277626592e+02
1.977119116290164129e+02 1.891477859664385051e+02
2.000000000000000000e+02 1.963538010271234100e+02
2.022597340055602899e+02 2.197245893576422304e+02
2.044944987035103452e+02 1.981156410934681560e+02
2.067051039524665441e+02 1.986062055142546114e+02
2.088923167567443215e+02 2.105892256554270148e+02
2.110568643754568825e+02 2.119520922905586815e+02
2.131994371474746686e+02 2.184305180028414384e+02
2.153206910633532232e+02 2.177657774462101656e+02
2.174212501113909184e+02 2.151607860886523440e+02
2.195017084215974705e+02 2.161674559814087786e+02
2.215626322284513776e+02 2.088074444511517811e+02
2.236067977499789663e+02 2.225224852273476017e+02
2.256302284712755295e+02 2.172325359463359860e+02
2.276356738299162146e+02 2.199250208724940592e+02
2.296236050583650297e+02 2.206581179323264053e+02
2.315944731637609664e+02 2.408809386465368050e+02
2.335487101227493270e+02 2.485257522391032694e+02
2.354867299870631712e+02 2.360875071177490270e+02
2.374089299078701458e+02 2.327443717031856067e+02
2.393156910860631399e+02 2.324339232113670164e+02
2.412073796549350959e+02 2.446825976307569306e+02
2.430843475010268833e+02 2.442539079673169340e+02
2.449489742783178201e+02 2.558491568592584144e+02
2.467974878316227887e+02 2.387067628122793792e+02
2.486322585667435021e+02 2.579686565540663992e+02
2.504535885149182661e+02 2.329433397140402064e+02
2.522617688037566950e+02 2.410679307244308518e+02
2.540570802004935160e+02 2.503811701935183862e+02
2.558397936209298962e+02 2.681393107873556687e+02
2.576101706066746146e+02 2.580840457078834902e+02
2.593684637730655140e+02 2.543584139472657455e+02
2.611149172299430461e+02 2.516766203939211550e+02
2.628497669772602308e+02 2.676396587418672084e+02
2.645751311064590823e+02 2.670980596922348127e+02
2.662874386823381769e+02 2.650446991047364236e+02
2.679888057363590974e+02 2.795187813448844167e+02
2.696794393349259167e+02 2.818314829382884454e+02
2.713595400939498745e+02 2.753046420183785585e+02
2.730293024567143334e+02 2.774590283450540937e+02
2.746889149565377011e+02 2.807361584230317249e+02
2.763385604652380039e+02 2.674391203559538894e+02
2.779784164283263408e+02 2.761652035445008551e+02
2.796086550877851664e+02 2.817350563570435611e+02
2.812294436932235726e+02 2.829366741380912913e+02
2.828427124746190202e+02 2.852482904266979062e+02
2.844450737840260217e+02 2.737755027089731925e+02
2.860384589526380523e+02 2.706669019017357982e+02
2.876230171596146761e+02 2.767512104290906905e+02
2.891988934971916478e+02 2.837472536624065924e+02
2.907662291257360039e+02 2.781195109790803031e+02
2.923251614213186258e+02 3.009398282869568106e+02
2.938758241162412901e+02 2.813274907547406087e+02
2.954183474329243495e+02 2.909058478908484631e+02
2.969528582115349877e+02 3.019097275595493670e+02
2.984794800317100680e+02 2.702748331232443206e+02
3.000000000000000000e+02 3.104657552562383103e+02
