lnN lnDN
8.972463821059907474e+00 3.688879454113936252e+00
8.967376693212665728e+00 3.135494215929149675e+00
8.964439833539357139e+00 3.637586159726385659e+00
8.959568653544499384e+00 3.713572066704307950e+00
8.954286157204712993e+00 3.784189633918261020e+00
8.948585921534316867e+00 3.433987204485146272e+00
8.944550245940499522e+00 3.465735902799726542e+00
8.940367233305174466e+00 3.610917912644224348e+00
8.935508711503221235e+00 3.258096538021482136e+00
8.932080438103307429e+00 3.465735902799726542e+00
8.927844826211702056e+00 3.583518938456109915e+00
8.923058219545728420e+00 3.737669618283368411e+00
8.917444732471514257e+00 3.258096538021482136e+00
8.913953858894254623e+00 3.583518938456109915e+00
8.909100134925550307e+00 3.713572066704307950e+00
8.903543435664719397e+00 3.784189633918261020e+00
8.897545598709326597e+00 3.828641396489095072e+00
8.891236429516061079e+00 3.526360524616161563e+00
8.886547412512042499e+00 3.178053830347945752e+00
8.883224230278994327e+00 3.663561646129646299e+00
8.877800393882575136e+00 3.401197381662155461e+00
8.873608101549109506e+00 3.806662489770319624e+00
8.867286523989415414e+00 3.737669618283368411e+00
8.861350110795997992e+00 3.737669618283368411e+00
8.855378246041125223e+00 3.737669618283368411e+00
8.849370503754569128e+00 3.218875824868200564e+00
8.845777255188444599e+00 3.610917912644224348e+00
8.840435439266569162e+00 3.871201010907891149e+00
8.833462720719930772e+00 3.713572066704307950e+00
8.827468112520653776e+00 3.737669618283368411e+00
8.821289805136112605e+00 3.218875824868200564e+00
8.817594036275792746e+00 3.401197381662155461e+00
8.813141008285050759e+00 3.583518938456109915e+00
8.807771066980043528e+00 3.637586159726385659e+00
8.802071336535284729e+00 3.332204510175203804e+00
8.797850648931053286e+00 3.258096538021482136e+00
8.793915423631675665e+00 3.465735902799726542e+00
8.789050713521046276e+00 3.218875824868200564e+00
8.785233623612729303e+00 3.688879454113936252e+00
8.779095810880530593e+00 3.526360524616161563e+00
8.773848885262895081e+00 3.555348061489413514e+00
8.768418726857403200e+00 3.496507561466480229e+00
8.763271714012942581e+00 3.218875824868200564e+00
8.759354748566208215e+00 3.367295829986474143e+00
8.754791763700032092e+00 3.332204510175203804e+00
8.750366278367625483e+00 3.091042453358316067e+00
8.746875319570030172e+00 3.496507561466480229e+00
8.741615924228828050e+00 3.178053830347945752e+00
8.737773460327282748e+00 3.433987204485146272e+00
8.732788324973117966e+00 3.555348061489413514e+00
8.727129915243166280e+00 3.526360524616161563e+00
8.721602344674197482e+00 3.401197381662155461e+00
8.716699572964293097e+00 3.218875824868200564e+00
8.712595487748721723e+00 3.496507561466480229e+00
8.707152175339404110e+00 3.496507561466480229e+00
8.701679071039569280e+00 3.332204510175203804e+00
8.697011617992073340e+00 3.850147601710058431e+00
8.689127655323705568e+00 3.555348061489413514e+00
8.683215975240688778e+00 3.091042453358316067e+00
8.679482094459956443e+00 3.258096538021482136e+00
8.675051276031817693e+00 3.332204510175203804e+00
8.670257567143075050e+00 3.367295829986474143e+00
8.665268309481600539e+00 3.761200115693562385e+00
8.657824321155983327e+00 3.044522437723423014e+00
8.654168646443315183e+00 2.890371757896164517e+00
8.651024539049757323e+00 3.258096538021482136e+00
8.646465527120376748e+00 3.295836866004329124e+00
8.641709066113804738e+00 3.583518938456109915e+00
8.635331719433278153e+00 3.583518938456109915e+00
8.628913441026645259e+00 3.465735902799726542e+00
8.623173514953469621e+00 3.091042453358316067e+00
8.619208116822967725e+00 3.258096538021482136e+00
8.614501373883236113e+00 3.135494215929149675e+00
